DEBUG:django.db.backends: (0.001) SHOW TABLES; args=None (2015-02-07 22:40:23; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=() (2015-02-07 22:40:23; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 22:40:35; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 19:40:35.369651' AND `django_session`.`session_key` = 'fh4pe07dh34e6zszq48u7nr8f0ggg0mm') LIMIT 21; args=(b'2015-02-07 19:40:35.369651', 'fh4pe07dh34e6zszq48u7nr8f0ggg0mm') (2015-02-07 22:40:35; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`username` = 'mikhail' LIMIT 21; args=('mikhail',) (2015-02-07 22:42:08; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `profiles`.`id`, `profiles`.`userid`, `profiles`.`fname`, `profiles`.`lname`, `profiles`.`bdate`, `profiles`.`biography`, `profiles`.`contacts` FROM `profiles` WHERE `profiles`.`userid` = 1 LIMIT 1; args=(1,) (2015-02-07 22:42:08; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 19:42:08.236260' AND `django_session`.`session_key` = 'fh4pe07dh34e6zszq48u7nr8f0ggg0mm') LIMIT 21; args=(b'2015-02-07 19:42:08.236260', 'fh4pe07dh34e6zszq48u7nr8f0ggg0mm') (2015-02-07 22:42:08; utils.py:91)
DEBUG:django.db.backends: (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`username` = 'mikhail' LIMIT 21; args=('mikhail',) (2015-02-07 22:42:18; utils.py:91)
DEBUG:django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2015-02-07 19:42:19.079327' AND `django_session`.`session_key` = 'fh4pe07dh34e6zszq48u7nr8f0ggg0mm') LIMIT 21; args=(b'2015-02-07 19:42:19.079327', 'fh4pe07dh34e6zszq48u7nr8f0ggg0mm') (2015-02-07 22:42:19; utils.py:91)
DEBUG:django.db.backends: (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'e7u0evi8qbpwzuy58h54vptebdlmode5' LIMIT 1; args=('e7u0evi8qbpwzuy58h54vptebdlmode5',) (2015-02-07 22:42:19; utils.py:91)
DEBUG:django.db.backends: (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('e7u0evi8qbpwzuy58h54vptebdlmode5', 'N2IxZWZkN2MzYjI5MDk4NGU3M2U1NDhkNjlhZGEyZDVhOTE0NjBlNjp7fQ==', '2015-02-21 19:42:19.083910'); args=('e7u0evi8qbpwzuy58h54vptebdlmode5', 'N2IxZWZkN2MzYjI5MDk4NGU3M2U1NDhkNjlhZGEyZDVhOTE0NjBlNjp7fQ==', b'2015-02-21 19:42:19.083910') (2015-02-07 22:42:19; utils.py:91)
